alba_name,sub_code,job1,job_code1,job2,job_code2,job3,job_code3,job4,job_code4,job5,job_code5,job6,job_code6,job7,job_code7,job8,job_code8,job8,job_code8,job9,job_code9,job9,job_code9,job10,job_code10,job10,job_code10,job11,job_code11,job11,job_code11,job12,job_code12,job12,job_code12,job13,job_code13,job14,job_code14,job15,job_code15
택배ㆍ퀵서비스, D060,택배원,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
배달, D070,요리배달원,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
병원ㆍ간호ㆍ연구 전체, E000,약사 및 한약사,23,응급구조사,397,일반의사,1440,임상병리사,941,음악치료사,396,임상심리사,398,작업치료사,401,전문의사,25,치과기공사,33,치과의사,34,한의사,37,,,,,,,,,,,,,,,,,,
간호조무사ㆍ간호사, E010,물리치료사,369,간호조무사,355,간호사,354,호스피스전문간호사,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
간병ㆍ요양보호사, E020,간병인,353,안마사,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원무ㆍ코디네이터, E030,보건의료정보관리사,256,병원코디네이터,1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
외래보조ㆍ병동보조, E040,치과위생사,411,방사선사,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수의테크니션ㆍ동물보건사, E050,수의사,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
실험ㆍ연구보조, E060,대체에너지개발연구원,1282,환경공학기술자 및 연구원,1080,기계공학 기술자ㆍ연구원,56,로봇연구원,66,신경회로망연구원,98,원자력연구원,104,수질환경연구원,1255,기상연구원,6,자연과학연구원,1541,물리학연구원,8,수학연구원,17,지리학연구원,29,지질학연구원,30,천문학연구원,31,통계학연구원,36,해부학연구원,38,해양학연구원,39,화학연구원,40,컴퓨터하드웨어 기술자 및 연구원,948,통신공학 기술자 및 연구원,138
생동성ㆍ임상시험, E070,신약개발연구원,1436,생물공학연구원,86,생물학연구원,13,유전공학연구원,24,베타테스터,1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
